message_id,symbol,pair,signal_text,suspicious_update_count,suspicious_update_ids,suspicious_update_texts
5757,IP,USDT,"Coin: #IP/USDT

Long Set-Up 

Leverage: 5-10x

#IP already breaked out the Symmetrical traingle and looking Bullish.

Entry: 6.41 - 6.00$(Buy partially)

Targets: 6.75 - 7.00 - 7.20 - 7.60 - 8.00 - 8.50$(Short-mid term)

Stop-loss: 5.80$",0,[],[]
5794,IOTA,USDT,"Coin: #IOTA/USDT

Long Set-Up 

Leverage: 5-10x

#IOTA already breaked out the Falling wedge pattern and looking Bullish.

Entry: 0.1703 - 0.1600$(Buy partially)

Targets: 0.1760 - 0.1820 - 0.1880 - 0.1960 - 0.2100 - 0.2200 - 0.2300$(Short-mid term)

Stop-loss: 0.1500$",1,[5795],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5875,ROSE,USDT,"Coin: #ROSE/USDT

Long Set-Up 

Leverage: 5-10x

#ROSE already breaked out the Inverse head and shoulder pattern and looking Bullish.

Entry: 0.03087 - 0.02980$(Buy partially)

Targets: 0.03150 - 0.03220 - 0.03300 - 0.03380 - 0.03600 - 0.03800$(Short-mid term)

Stop-loss: 0.02850$",2,"[5876, 5877]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#ROSE/USDT UPDATE:\n\nTp 1 done nicely✔️ 25% Profits booked with 10x Lev \n\nClose position now.']"
5887,CHR,USDT,"Coin: #CHR/USDT

Long Set-Up 

Leverage: 5-10x

#CHR already breaked out Downtrend channel and looking Bullish.

Entry: 0.0988 - 0.0940$(Buy partially)

Targets: 0.1020 - 0.1045 - 0.1070 - 0.1100 - 0.1160 - 0.1220 - 0.1300 - 0.1400$(Short-mid term)

Stop-loss: 0.0880$",1,[5888],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
5897,ONDO,USDT,"Coin: #ONDOUSDT

Short Set-Up 

Leverage: 5-10x

#ONDO already breaked down the Head and shoulder pattern and looking bearish.

Entry: 0.8599 - 0.8743$(Enter partially)

Targets: 0.8350 - 0.8150 - 0.7950 - 0.7750 - 0.7450 - 0.7200$(Short term)

Stop-loss: 0.9000$",1,[5898],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6017,CHR,USDT,"Coin: #CHRUSDT

Short Set-Up 

Leverage: 5-10x

#CHR already breaked down the Inverse cup and handle pattern and looking bearish.

Entry: 0.0952 - 0.0980$(Enter partially)

Targets: 0.0920 - 0.0890 - 0.0860 - 0.0830 - 0.0790 - 0.0750$(Short-mid term)

Stop-loss: 0.1010$",1,[6018],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6019,HOOK,USDT,"Coin: #HOOKUSDT

Short Set-Up 

Leverage: 5-10x

#HOOK already breaked down the Inverse cup and handle pattern and looking Bearish.

Entry: 0.1337 - 0.1370$(Enter partially)

Targets: 0.1300 - 0.1270 - 0.1240 - 0.1210 - 0.1150 - 0.1100 - 0.1050$(Short-mid term)

Stop-loss: 0.1420$",1,[6020],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6073,XMR,USDT,"Coin: #XMRUSDT

Long Set-Up

Leverage: 5-10x

#XMR already broke out of the ascending triangle and is looking bullish.

Entry: $341.70 - $336 (Buy partially)

Targets: $350 - $358 - $366 - $375 (Short term)

Stop-loss: $332",1,[6074],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6129,SXP,USDT,"Coin: #SXPUSDT

Long Set-Up

Leverage: 5-10x

#SXP already broke out of the falling wedge pattern and is looking bullish.

Entry: $0.1754 - $0.1700 (Buy partially)

Targets: $0.1800 - $0.1840 - $0.1880 - $0.1920 - $0.2040 - $0.2160 - $0.2280 - $0.2400 (Short-mid term)

Stop-loss: $0.1660",1,[6130],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6162,LAYER,USDT,"Coin: #LAYERUSDT

Short Set-Up

Leverage: 5-10x

#LAYER has already broken down the inverse cup and handle pattern and is looking bearish.

Entry: 0.6278 - 0.6350$ (Enter partially)

Targets: 0.6140 - 0.6020 - 0.5900 - 0.5760 - 0.5500 - 0.5200$ (Short term)

Stop-loss: 0.6450$",1,[6163],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6228,QNT,USDT,"Coin: #QNTUSDT

Long Signal

Leverage: 5-10x

#QNT has already broken out of the inverse head and shoulders pattern and is looking bullish.

Entry: 133 - 124$ (Buy partially)

Targets: 137 - 140 - 143 - 146 - 154 - 162 - 170 - 180$ (Short-mid term)

Stoploss: 117.50$",1,[6229],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6243,CRV,USDT,"Coin: #CRVUSDT

Long Set-Up

Leverage: 5-10x

#CRV already broke out of the Bull Flag pattern and is looking bullish.

Entry: 1.067 - 1.034$ (Buy partially)

Targets: 1.100 - 1.130 - 1.160 - 1.200 - 1.260 - 1.320 - 1.400$ (Short-mid term)

Stop-loss: 1.000$",1,[6244],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6247,REZ,USDT,"Coin: #REZUSDT

Long Set-Up

Leverage: 5-10x

#REZ already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.01308 - 0.01280$ (Buy partially)

Targets: 0.01340 - 0.01380 - 0.01410 - 0.01440 - 0.01520 - 0.01600 - 0.01700$ (Short term)

Stoploss: 0.01240$",2,"[6248, 6252]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#REZUSDT UPDATE:\n\nTargets 1, 2, 3, 4, and 5 done nicely. ✔️\n\nSo far, 170% profits with 10x leverage. 🤑\n\nEnjoy the profits, guys! 🍾🍾\n\nHope you guys recovered previous trade losses in this trade. 💯']"
6265,SWARMS,USDT,"Coin: #SWARMSUSDT

Long Set-Up

Leverage: 5-10x

#SWARMS already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.02040 - 0.02000$ (Buy partially)

Targets: 0.02100 - 0.02160 - 0.02220 - 0.02280 - 0.02380 - 0.02500$ (Short-mid term)

Stoploss: 0.01940$",1,[6266],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6280,1000LUNC,USDT,"Coin: #1000LUNCUSDT

Long Set-Up

Leverage: 5-10x

#LUNC already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.05960 - 0.05850$ (Buy partially)

Targets: 0.06100 - 0.06250 - 0.06400 - 0.06550 - 0.06800$ (Short term)

Stop-loss: 0.05750$",1,[6281],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6284,HMSTR,USDT,"Coin: #HMSTRUSDT

Long Set-Up

Leverage: 5-10x

#HMSTR has already broken out of the cup and handle pattern and is looking bullish.

Entry: 0.0007460 - 0.0007420$ (Buy partially)

Targets: 0.0007620 - 0.0007800 - 0.0007950 - 0.0008100$ (Scalp Signal)

Stoploss: 0.0007320$",1,[6285],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6288,IOTX,USDT,"Coin: #IOTXUSDT

Long Set-Up

Leverage: 5-10x

#IOTX has already broken out of the ascending triangle and is looking bullish.

Entry: 0.03090 - 0.03000$ (Buy partially)

Targets: 0.03160 - 0.03240 - 0.03320 - 0.03400 - 0.03600$ (Short-mid term)

Stop-loss: 0.02950$",1,[6289],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6355,XRP,USDT,"Coin: #XRPUSDT

Long Set-Up

Leverage: 5-10x

#XRP already broke out of the Bull Flag pattern and is looking bullish.

Entry: 3.2770 - 3.2200$ (Buy partially)

Targets: 3.36 - 3.44 - 3.52 - 3.60 - 3.80$ (Short term)

Stoploss: 3.16$",0,[],[]
6378,JASMY,USDT,"Coin: #JASMYUSDT

Short Set-Up

Leverage: 5-10x

#JASMY already broke down the head and shoulders pattern and is looking bearish.

Entry: 0.016205 - 0.0166$ (Enter partially)

Targets: 0.0158 - 0.0154 - 0.0151 - 0.0148 - 0.0140$ (Short term)

Stoploss: 0.0170$",0,[],[]
6393,LPT,USDT,"Coin: #LPTUSDT

Short Set-Up

Leverage: 5-10x

#LPT already broke down the uptrend channel and is looking bearish.

Entry: 6.150 - 6.300$ (Enter partially)

Targets: 6.000 - 5.850 - 5.700 - 5.550 - 5.300 - 5.000$ (Short term)

Stoploss: 6.500$",1,[6394],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6411,1000LUNC,USDT,"Coin: #1000LUNCUSDT

Long Set-Up

Leverage: 5-10x

#LUNC has already broken out of the symmetrical triangle and is looking bullish.

Entry: 0.06295 - 0.06100$ (Buy partially)

Targets: 0.06500 - 0.06650 - 0.06800 - 0.06950 - 0.07200 - 0.07400$ (Short-term)

Stoploss: 0.05960$",1,[6412],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6415,PEOPLE,USDT,"Coin: #PEOPLEUSDT

Long Set-Up

Leverage: 5-10x

#PEOPLE already broke out of the symmetrical triangle and is looking bullish.

Entry: 0.02151 - 0.02050$ (Buy partially)

Targets: 0.02250 - 0.02300 - 0.02360 - 0.02420 - 0.02550 - 0.02700 - 0.02850 - 0.03000$ (Short-mid term)

Stoploss: 0.01950$",1,[6416],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6428,ETC,USDT,"Coin: #ETCUSDT

Short Set-Up 

Leverage: 5-10x

#ETC already breaked down the Uptrend Channel and looking bearish.

Entry: 20.7 - 21.2$(Enter partially)

Targets: 20.2 - 19.6 - 19 - 18.4 - 17$(Short term)

Stoploss: 21.8$",2,"[6429, 6442]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", 'Binance Futures, BingX Futures, Bitget Futures, ByBit USDT, KuCoin Futures, OKX Futures\n#ETC/USDT Take-Profit target 1 ✅\nProfit: 35.7995% 📈\nPeriod: 3 Days 1 Hours 20 Minutes ⏰']"
6447,APT,USDT,"Coin: #APTUSDT

Direction: Long

Leverage: 5-10x

#APT already broke out of the falling wedge pattern and is looking bullish.

Entry: 4.4000 - 4.3400$ (Buy partially)

Targets: 4.500 - 4.600 - 4.700 - 4.800 - 5.000 - 5.200$ (Short term)

Stoploss: 4.260$",2,"[6448, 6453]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", 'Binance Futures, BingX Futures, Bitget Futures, ByBit USDT, HyperLiquid Futures(APT/USDC), KuCoin Futures, OKX Futures\n#APT/USDT Stop Target Hit ⛔\nLoss: 25.1716% 📉']"
6451,SEI,USDT,"Coin: #SEIUSDT

Direction: Long

Leverage: 5-10x

#SEI already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.2940 - 0.2850$ (Buy partially)

Targets: 0.3000 - 0.3080 - 0.3160 - 0.3240 - 0.3380 - 0.3500$ (Short term)

Stoploss: 0.2780$",1,[6452],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6455,BNB,USDT,"Coin: #BNBUSDT

Direction: Short

Leverage: 5-10x

#BNB already broke down the symmetrical triangle and is looking bearish.

Entry: 845 - 852$ (Enter partially)

Targets: 828 - 808 - 792 - 776 - 760$ (Short term)

Stoploss: 860$",3,"[6465, 6489, 6534]","['#BNBUSDT UPDATE:\n\n#BNB is now trading around $874. It pumped exactly after the breakout according to our previous update. Those who opened a long position according to our update are now in good profits. 20% profits booked until now with 10x leverage. Now, according to the pattern, we may see more pumps. Hope you enjoyed this update. More updates like #BNB...\n\n#Pin our channel on top and #Unmute our channel.', '#BNBUSDT UPDATE:\n\nBNB is now trading around $901. It pumped exactly after the breakout according to our previous update. Those who opened a long position according to our update are now in good profits. 50% profits booked until now with 10x leverage. Hope you enjoyed this update.', '#BNBUSDT UPDATE:\n\n#BNB is now trading around $1062. It pumped exactly after breaking out of the cup and handle pattern, according to our previous update. Those who opened a long position according to our previous update are now in good profits. 80% profits booked with 10x leverage. Enjoy the profits, guys!']"
6457,GRASS,USDT,"Coin: #GRASSUSDT

Direction: Short

Leverage: 5-10x

#GRASS has already broken down the symmetrical triangle and is looking bearish.

Entry: 0.6924 - 0.7100$ (Enter partially)

Targets: 0.6750 - 0.6600 - 0.6450 - 0.6300 - 0.5950 - 0.5500$ (Short term)

Stoploss: 0.7300$",0,[],[]
6497,DENT,USDT,"Coin: #DENTUSDT

Direction: Long

Leverage: 10x

#DENT has already broken out of the downtrend channel and is looking bullish.

Entry: 0.000795 - 0.000770$ (Buy partially)

Targets: 0.000815 - 0.000835 - 0.000855 - 0.000870 - 0.000900$ (Short term)

Stoploss: 0.000740$",2,"[6498, 6504]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#DENTUSDT UPDATE:\n\nSL hit after TP 1 because of a sudden dump in the market. 20% profits booked with 10x leverage.']"
6509,BTC,USDT,"Coin: #BTCUSDT

Direction: Long

Leverage: 10x

#BTC has already broken out of the Inverse head and shoulder pattern and is looking bullish.

Entry: 117200 - 115000$ (Buy partially)

Targets: 119500 - 122000 - 125000 - 128000 (Short term)

Stoploss: 113000$",1,[6510],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6519,BTC,USDT,"Coin: #BTCUSDT

Direction: Long

Leverage: 10x

#BTC has already broken out of the Inverse head and shoulder pattern and is looking bullish.

Entry: 117300 - 115000$ (Buy partially)

Targets: 119500 - 122000 - 125000 - 128000 (Short term)

Stoploss: 113000$",0,[],[]
6539,CHESS,USDT,"🔥GEM FUTURE SIGNAL🔥

Coin: #CHESSUSDT

Direction: Long📈

Leverage: 10x

Pumping from the strong support zone with a good bullish candle, which is a bullish sign, and the next target will be the upper resistance zone. So just buy it and hold it for good profits. This coin is in the bottom area, so we expect a massive pump in it.

Entry: 0.067 to 0.064$

Target: 0.07 - 0.08$ and higher

Stop loss: 0.058$

Buy and hold🤑",0,[],[]
6562,LPT,USDT,"Coin: #LPTUSDT

Direction: Long

Leverage: 5-10x

#LPT has already broken out of the bull flag pattern and is looking bullish.

Entry: 6.660 - 6.550$ (Buy partially)

Targets: 6.800 - 6.940 - 7.080 - 7.250 - 7.500 - 7.800$ (Short term)

Stop loss: 6.450$",1,[6563],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6564,XLM,USDT,"Coin: #XLMUSDT

Direction: Long

Leverage: 5-10x

#XLM has already broken out of the falling wedge pattern and is looking bullish.

Entry: 0.40940 - 0.3900$ (Buy partially)

Targets: 0.420 - 0.430 - 0.440 - 0.450 - 0.470 - 0.490 - 0.520$ (Short-mid term)

Stoploss: 0.375$",1,[6565],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6584,OP,USDT,"Coin: #OPUSDT

Direction: Long

Leverage: 5-10x

#OP already broke out of the ascending triangle and is looking bullish.

Entry: 0.5060 - 0.5000$ (Buy partially)

Targets: 0.5200 - 0.5320 - 0.5440 - 0.5560 - 0.5850 - 0.6210$ (Short term)

Stoploss: 0.4850$",9,"[6585, 6592, 6634, 6675, 6676, 6677, 6695, 6699, 6700]","[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially"", '#ETHUSDT UPDATE:\n\n#Ethereum is currently trading around $3790. Ethereum dumped exactly after the breakdown, according to our previous update. Those who opened a short position after our update have booked good profits through that update. Sixty percent profits were booked with 10x leverage. Enjoy the profits, guys', '#DOTUSDT UPDATE:\n\n#DOT is currently trading around $3.163. It pumped exactly after our update. Those who opened a long position according to our previous update are now in good profits. Enjoy the profits, guys!🔥', 'Coin: #XVGUSDT\n\nDirection: Long📈\n\nBreaking out of a Cup and handle pattern on hourly timeframe, which is a bullish pattern with a good bullish candle. So just buy it and hold it for good profits. This coin is in the bottom area, so we expect a massive pump.\n\nEntry: 0.0081 - 0.0070$\n\nTargets: 0.0086 - 0.0088 - 0.0092 - 0.0094$+\n\nStoploss: 0.0064$\n\nBuy and hold🤑', '#ETHUSDT UPDATE:\n\n#Ethereum is currently trading around $3480. Ethereum pumped exactly after our update, and after breaking the neckline, ETH reached a high of $3650. Those who opened a long position according to our update are now in good profits. Now, the possible scenarios are that Ethereum is again taking support from the support level, so if it pumps and continues here, it can go towards $3800 - $3900. Otherwise, if the price breaks down the support, then we may see a dump in Ethereum. Keep', '#BTCUSDT UPDATE:\n\n#Bitcoin is currently trading around $103,500. Bitcoin pumped exactly as predicted after our update and touched $107,500. Those who opened a long position according to our update have booked good profits. Now, stay tuned with us for further updates✔️', '#BTCUSDT UPDATE:\n\n#Bitcoin is now currently trading around $94,100. Bitcoin is exactly dumping after breaking the support zone as per the previous update. Those who opened a short position according to our update are now in good profits. 60% profits booked with 10x Lev. Enjoy the profits, guys. Stay tuned with us for further updates.✔️', '#BTCUSDT UPDATE:\n\n#Bitcoin is now currently trading around $84000. Bitcoin is exactly dumping after breaking the support zone as per the previous update. Those who opened a short position according to our update are now in good profits. 180% profits booked with 10x Lev. Enjoy the profits, guys. Stay tuned with us for further updates.✔️', '#ETHUSDT UPDATE:\n\n#Ethereum is now trading around $2710. Ethereum is dumping exactly as predicted after breaking down the support zone, as per our previous update. Those who opened a short position according to our previous update are now in good profits, which is 170% with 10x leverage. Enjoy the profits, guys. Now, stay tuned with us for the next updates✔️']"
6590,SANTOS,USDT,"Coin: #SANTOSUSDT

Direction: Short

Leverage: 5-10x

#SANTOS has already broken down the bear flag pattern and is looking bearish.

Entry: 1.348 - 1.400$ (Enter partially)

Targets: 1.300 - 1.260 - 1.220 - 1.180 - 1.100 - 1.000$ (Short term)

Stoploss: 1.450$",1,[6591],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6614,GMX,USDT,"Coin: #GMXUSDT

Direction: Long

Leverage: 5-10x

#GMX has already broken out of the symmetrical triangle and is looking bullish.

Entry: 10.580 - 10.400$ (Buy partially)

Targets: 10.800 - 11.100 - 11.400 - 11.700 - 12.400 - 12.900 - 13.500$ (Short-mid term)

Stoploss: 10.200$",1,[6615],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6625,XLM,USDT,"Coin: #XLMUSDT

Direction: Long

Leverage: 5-10x

#XLM has already broken out of the symmetrical triangle and is looking bullish.

Entry: $0.329 - $0.320 (Buy partially)

Targets: $0.336 - $0.344 - $0.352 - $0.360 - $0.380 - $0.395 - $0.410 (Short term)

Stoploss: $0.316",1,[6626],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6646,BNB,USDT,"Coin: #BNBUSDT

Direction: Long

Leverage: 5-10x

#BNB has already broken out of the cup and handle pattern and is looking bullish.

Entry: 1165 - 1140$ (Buy partially)

Targets: 1185 - 1210 - 1235 - 1280$ (Short term)

Stoploss: 1130$",1,[6647],"[""Market is very volatile now. So use low leverage and low amount of your capital as per your Risk management . Don't wait for all Targets(even after first Target),\xa0 book profits Partially""]"
6651,RSR,USDT,"Coin: #RSRUSDT

Direction: Long

Leverage: 5-10x

#RSR has already broken out of the downtrend channel and is looking bullish.

Entry: $0.005570 - $0.005400 (Buy partially)

Targets: $0.0057 - $0.0058 - $0.0060 - $0.00615 - $0.00635 - $0.0066 (Short term)

Stoploss: $0.00520",0,[],[]
